,metrics
metric_group_0,adview_per_month|adview_per_post|like_per_month|like_per_post|newfriend_per_month|post_per_message|post_per_month
metric_group_1,unfriend_28day_avg_84day_obs|unfriend_28day_avg_84day_obs_scaled|unfriend_per_month|unfriend_per_newfriend|unfriend_per_newfriend_scaled
metric_group_2,message_per_month|reply_per_month
dislike_per_month,dislike_per_month
account_tenure,account_tenure
reply_per_message,reply_per_message
dislike_pcnt,dislike_pcnt
newfriend_pcnt_chng,newfriend_pcnt_chng
days_since_newfriend,days_since_newfriend
